pagos,products,total
"[{""__ref__"":""pagos/HbtkNAOpfKQTf1CUtK19""}]","[{""__ref__"":""productosSeleccionados/BUi3kuHXtXtCzMySTToi""}]",3576
"[{""__ref__"":""pagos/DvvhufcEsmIBPkCYS28k""}]","[{""__ref__"":""productosSeleccionados/BUKFR84CbjQ1hcwwobKp""}]",98
"[{""__ref__"":""pagos/bXTr5Jd0xQJxW00J6b1r""}]","[{""__ref__"":""productosSeleccionados/bUKKZ3nIZYO4tCiYyFVD""}]",910
"[{""__ref__"":""pagos/LxJujVs2xQmGSkHGs7T8""},{""__ref__"":""pagos/3horwP7nbz5ywQtHo7zo""}]","[{""__ref__"":""productosSeleccionados/bUlauvXTuHGQMX6np2Mc""}]",5875
"[{""__ref__"":""pagos/Q6tEhFTJu3HTcf8A0yfF""}]","[{""__ref__"":""productosSeleccionados/bUmEwyHCuaHewU80L9iE""},{""__ref__"":""productosSeleccionados/HEpWhn02oFqpj322EDAZ""}]",14360
"[{""__ref__"":""pagos/UxdfhaYQZvu3Wl6w5PTz""},{""__ref__"":""pagos/zvMD0XOLoln4vHvulCTe""}]","[{""__ref__"":""productosSeleccionados/BUP0M1NkEyRhaS71rEo8""},{""__ref__"":""productosSeleccionados/o8rubmqnnedjX6CxHbQq""}]",13500
"[{""__ref__"":""pagos/0APlhAB83tll0pKXyIIe""},{""__ref__"":""pagos/QaQ7QKPjfLvVL6COmpBU""}]","[{""__ref__"":""productosSeleccionados/BuqP7wBbvDZ0AkTGobVM""}]",7353
"[{""__ref__"":""pagos/erNWb1MXfZee1pSvistD""}]","[{""__ref__"":""productosSeleccionados/BUSFxM162FCFUlMH6huI""}]",5190
"[{""__ref__"":""pagos/rqp7dEgdVqts5Ug4WWo9""},{""__ref__"":""pagos/pIf9RixPuuBlshAZpZWD""}]","[{""__ref__"":""productosSeleccionados/Busi8R06by8KSEVjpjyg""},{""__ref__"":""productosSeleccionados/lGjQO40M2Ebz74z8wJMV""}]",32293.3
"[{""__ref__"":""pagos/0BbBzZwGDp11u2z7ZW1P""},{""__ref__"":""pagos/OizPa6men2f3T58LcceJ""}]","[{""__ref__"":""productosSeleccionados/BuTk5DcYmC07gAvI1C3H""},{""__ref__"":""productosSeleccionados/reJlXcClP6ttJZFtkOlr""}]",13840.2
"[{""__ref__"":""pagos/2y2vz36VHvjTQufZVo0y""}]","[{""__ref__"":""productosSeleccionados/BuYs1TV0g11TqqouIffl""}]",2873.46
"[{""__ref__"":""pagos/3mIpKV37ahAuxsiNpuPj""},{""__ref__"":""pagos/G0bNoVgIHvOtJGObrn5b""}]","[{""__ref__"":""productosSeleccionados/BUYyb8f00if9G4Fyxrsu""}]",12650
"[{""__ref__"":""pagos/YtmAbukyURe0nquAAXyc""}]","[{""__ref__"":""productosSeleccionados/bUZG7zM8rsoWOpXAFpT6""},{""__ref__"":""productosSeleccionados/EkCDBKaqiQXanUFU2PJJ""}]",800
"[{""__ref__"":""pagos/rIPhcm7IDJQIm80Uh1Yq""},{""__ref__"":""pagos/90njIEGwuFTFNS87gNsL""}]","[{""__ref__"":""productosSeleccionados/BuZIXVa9x1itQiOLUeX5""}]",27103.5
"[{""__ref__"":""pagos/1ddOFNb0SJOOv5ByERaS""}]","[{""__ref__"":""productosSeleccionados/bv3Df30Lx0p01dm3EehV""},{""__ref__"":""productosSeleccionados/bw8RvXPxFTIyJSNMmf1d""}]",10260
"[{""__ref__"":""pagos/gTZZPTFPNThReWstxFfh""}]","[{""__ref__"":""productosSeleccionados/bV7TS6x0WvLDkwavZl3o""}]",870
"[{""__ref__"":""pagos/EJjAehOU37iuofZNfRjY""}]","[{""__ref__"":""productosSeleccionados/bVAKaJuwK2IKDt0cWtos""}]",10924.848
"[{""__ref__"":""pagos/3JI2icN2PeJ75Mxf5KLg""}]","[{""__ref__"":""productosSeleccionados/BvB1Xhv1MLgCof7i6Pxk""},{""__ref__"":""productosSeleccionados/Q2lMJEqmtKWQKrGiwtLC""}]",10406
"[{""__ref__"":""pagos/bcN2EOSh1TFEtpkA027S""}]","[{""__ref__"":""productosSeleccionados/bvBSW0F2uek0MCA8N0RJ""}]",100
"[{""__ref__"":""pagos/vlyHW7dPtJVuSlXV3EAJ""},{""__ref__"":""pagos/DW2N49tWia8wD5FMbDVt""}]","[{""__ref__"":""productosSeleccionados/BVh4dd2A0WElDAVntbn0""}]",8900
"[{""__ref__"":""pagos/h3sLR6yrLTUCP4u1yOWn""}]","[{""__ref__"":""productosSeleccionados/BvH4hxHWBdlmVs1N7uv7""}]",1300
"[{""__ref__"":""pagos/6ko5ZN8AKpJ5RvitBChN""},{""__ref__"":""pagos/N9YHKzEEITHS3zQLzgwj""}]","[{""__ref__"":""productosSeleccionados/BVijxKx1X2swqnAVfjzw""}]",8030
"[{""__ref__"":""pagos/4mpLyIjwb0gb9EmOL8OO""}]","[{""__ref__"":""productosSeleccionados/BVjuPT4L4C1AGK1smli0""}]",850
"[{""__ref__"":""pagos/qqOmHWdPLuJzhCKo0ai0""}]","[{""__ref__"":""productosSeleccionados/bvkIC9NI7hcTXY3jiC9V""},{""__ref__"":""productosSeleccionados/wbPJc6wzqzZaqwwn6o39""}]",4781
"[{""__ref__"":""pagos/cfC1glAG4gVTYH4QHzkY""}]","[{""__ref__"":""productosSeleccionados/bVMA65DAl2YxgndJZTPw""},{""__ref__"":""productosSeleccionados/0gvbxEE48phZuFHieMKM""},{""__ref__"":""productosSeleccionados/iUtQ80UsENFibQzoBqzR""}]",1980
"[{""__ref__"":""pagos/O262GR0d3m3DwOGdWDHx""}]","[{""__ref__"":""productosSeleccionados/BVNg4rYQ7QB9LorYEAlT""}]",920
"[{""__ref__"":""pagos/DMR8u1wIUsHxTa4mbiJ8""}]","[{""__ref__"":""productosSeleccionados/BVNumP4kxJRDpuorig9u""},{""__ref__"":""productosSeleccionados/ioxbRJqFEz1N8eewYoWu""},{""__ref__"":""productosSeleccionados/vWtMhyNjLg2UbZyQSyXJ""}]",4005
"[{""__ref__"":""pagos/dcZCayb2mvpMQM0XdQEc""}]","[{""__ref__"":""productosSeleccionados/BVxlQhBbCB9nTxmUWzr2""}]",8456.4
"[{""__ref__"":""pagos/u1NxCKbJwVua7zjeuTBv""},{""__ref__"":""pagos/p7DoQKowBrvMektekIjh""}]","[{""__ref__"":""productosSeleccionados/bvYw1TTvnobZditEuqyn""}]",8455
"[{""__ref__"":""pagos/ei0yf8eEFHPk3atWo5LQ""}]","[{""__ref__"":""productosSeleccionados/bw3ITuSYqUEKBY3T6Srq""},{""__ref__"":""productosSeleccionados/3bLeDc4MOcl2OJJwAEhE""}]",1820
"[{""__ref__"":""pagos/NMnzCS4gowUp5Xnqe56C""}]","[{""__ref__"":""productosSeleccionados/BwAdPZi0Y59oLJtuOMkg""}]",50
"[{""__ref__"":""pagos/X9VLEk43dJm57mfXSNJq""}]","[{""__ref__"":""productosSeleccionados/bWaT8eV6oIKBNAPG3LHq""}]",500
"[{""__ref__"":""pagos/fw8aCpON7ExdcXVfNtBu""},{""__ref__"":""pagos/xbKeiGEwnl0kBWLO6R9Q""}]","[{""__ref__"":""productosSeleccionados/bwb4UDQqJUCOWFEq2ltM""}]",2831.4
"[{""__ref__"":""pagos/TFxnvLQ9esftfxnQDghE""}]","[{""__ref__"":""productosSeleccionados/bWE8eTfM6JiZpnZZiZy7""},{""__ref__"":""productosSeleccionados/9ZC5P2GEds73y0p0e0HO""}]",2490.5
"[{""__ref__"":""pagos/kWD9bffQe4KYNa1uJGUA""}]","[{""__ref__"":""productosSeleccionados/BwFJOEQGVeip2cAmjHRE""}]",1100
"[{""__ref__"":""pagos/Pkdqn7xe87rQzvGLikxg""}]","[{""__ref__"":""productosSeleccionados/bWgMVmEvW2ryfuKHd2Fk""},{""__ref__"":""productosSeleccionados/aa6mbMctJGgsXkqOTzba""}]",8688
"[{""__ref__"":""pagos/LwymG7VqvrvTu2e9RllZ""}]","[{""__ref__"":""productosSeleccionados/bWjZKC3jDSEv91V1zE67""},{""__ref__"":""productosSeleccionados/CTIYF9vcvYIsHGs0lVT9""}]",4920
"[{""__ref__"":""pagos/D3zOyLXYUfCAdVguY8nI""}]","[{""__ref__"":""productosSeleccionados/BwMWmb8IHRhPZ3zv2N73""},{""__ref__"":""productosSeleccionados/BSNW7kAb6BlPjsu5MjKu""}]",17226
"[{""__ref__"":""pagos/fTariJa7xiRvGRk5innV""}]","[{""__ref__"":""productosSeleccionados/bwoGa0d16uwG6M1pCntL""}]",3819.2
"[{""__ref__"":""pagos/jSE9ZdBoq6OeVYaa9rnd""}]","[{""__ref__"":""productosSeleccionados/Bwou2vssdKAPGjTFwdg8""},{""__ref__"":""productosSeleccionados/QkGWDnbwdDzawGXobFSd""},{""__ref__"":""productosSeleccionados/trVaakUYpugy2MquukoF""}]",7611
"[{""__ref__"":""pagos/VrMAv0quVeZVGNxJmTss""}]","[{""__ref__"":""productosSeleccionados/bWU8QfiMIBRLh9bbkZUS""}]",1200
"[{""__ref__"":""pagos/tIxNPRXZuMSGFWnCnTlM""}]","[{""__ref__"":""productosSeleccionados/bwv4c5PzpYlBqrhrMaQq""}]",1401.6
"[{""__ref__"":""pagos/cEx36OMVa0WvhyvXMhDj""}]","[{""__ref__"":""productosSeleccionados/BwxkhmJGM4WAv6wOuQNU""}]",17907.12
"[{""__ref__"":""pagos/bIuioTFWg2ExK7wl0SLy""}]","[{""__ref__"":""productosSeleccionados/BxhUZ6TCZjE3pGV9f32s""},{""__ref__"":""productosSeleccionados/jp4QA6QBsa4Cm4nMo28i""},{""__ref__"":""productosSeleccionados/K5u19RIKiY7E1559LeZ5""}]",1950
"[{""__ref__"":""pagos/x3kkhNZBilE5vmNu4JRa""}]","[{""__ref__"":""productosSeleccionados/bxpdb7hBbjWwSDDKJzAl""}]",49
"[{""__ref__"":""pagos/sMo0dXOlNkpJ72u3Nmuw""},{""__ref__"":""pagos/k8QZwDNOuJPyDCSLFUK9""}]","[{""__ref__"":""productosSeleccionados/BxPzHWSJUR7F1cH0Oi77""}]",1210
"[{""__ref__"":""pagos/ZQos4BxstIGLSRMddelZ""}]","[{""__ref__"":""productosSeleccionados/BXu7rbS1Knm595haaP7D""}]",4550
"[{""__ref__"":""pagos/aIhbXYfL4FzwyeEZRuhx""}]","[{""__ref__"":""productosSeleccionados/bxxkPOoTiLCQ0Cy9TmIF""},{""__ref__"":""productosSeleccionados/K182awZNK597hdchlym2""}]",940
"[{""__ref__"":""pagos/1S6hc0AZQx2NiPEP4DES""}]","[{""__ref__"":""productosSeleccionados/BxZx4lfoScqtvHJSVJdY""},{""__ref__"":""productosSeleccionados/MWr051gNjd5cjbQFe09F""},{""__ref__"":""productosSeleccionados/ul7Kayuta7hqHDP4gRm9""}]",7190
"[{""__ref__"":""pagos/ohPuptiTy1G6DWC1OMVp""}]","[{""__ref__"":""productosSeleccionados/BY9UT59wtxUDGYPwiFgw""}]",5187
"[{""__ref__"":""pagos/MdefgCCzhxNcVv0Z7MlV""}]","[{""__ref__"":""productosSeleccionados/BYA0O6EYvooyBGTGll7X""}]",8100
"[{""__ref__"":""pagos/yOZJRaXKORPU8zhtvaTE""}]","[{""__ref__"":""productosSeleccionados/bYa8fCYt08coWIyB9TJu""}]",2840
"[{""__ref__"":""pagos/qpOd4Q2e8Rtl2FSZpvf8""}]","[{""__ref__"":""productosSeleccionados/BYaqZEARYJyXrwpFEAUd""},{""__ref__"":""productosSeleccionados/2WMZEeBbCmRT5dP7EVgE""}]",3416.715
"[{""__ref__"":""pagos/wLHqnzspPHYe3ONKZpi6""},{""__ref__"":""pagos/SL1QfX4on2QpEN8q21Jp""}]","[{""__ref__"":""productosSeleccionados/byIYUmjIsMxdD500yIEg""}]",19481.8
"[{""__ref__"":""pagos/pW817W6mBNSOJPcJ0mBg""},{""__ref__"":""pagos/mKZgdRsEOmqcvaD9Iy2M""}]","[{""__ref__"":""productosSeleccionados/bylDcGLvon9yq3Ak9fTK""},{""__ref__"":""productosSeleccionados/vILoYqFpjkAnOnf1Uk0W""}]",32010
"[{""__ref__"":""pagos/smnj6KGE2h6ALOR9rCk4""}]","[{""__ref__"":""productosSeleccionados/ByrooArub7jL97u2dhty""},{""__ref__"":""productosSeleccionados/aKBrnXZBUvsKpjN0iYCa""}]",14294.28
"[{""__ref__"":""pagos/ZnFrrgvXTO8C3GgQtw1y""}]","[{""__ref__"":""productosSeleccionados/bYS8MxAW9oN8wWTKRP1k""},{""__ref__"":""productosSeleccionados/4MkGmY28uYasHEgrqMTG""}]",2833.128
"[{""__ref__"":""pagos/RTLxlD1z1caUo1I6Erjg""}]","[{""__ref__"":""productosSeleccionados/BYy7reM2Waw7Kr5TsdF0""}]",3600
"[{""__ref__"":""pagos/fEKuO7lK0L4pO9YLhUMG""}]","[{""__ref__"":""productosSeleccionados/ByzDD5xLDZvrBD6AVwz7""},{""__ref__"":""productosSeleccionados/l5nQOFi0k6VF1qEMfRzV""},{""__ref__"":""productosSeleccionados/XrvUnpyHsQpSVYSXcvvL""}]",890
"[{""__ref__"":""pagos/dK4LwxKh35TqmtzdYROy""}]","[{""__ref__"":""productosSeleccionados/bZalOjcFfWGbH3nvHhTj""}]",360
"[{""__ref__"":""pagos/6ZwyFbtxUzP1Pno5TSQE""}]","[{""__ref__"":""productosSeleccionados/bZEc9ft025tBt2QZ5ixk""}]",13283
"[{""__ref__"":""pagos/bH4UGOCHFkCoSiiIBDbn""},{""__ref__"":""pagos/m6zpFIGkrZTlkm4DDUHv""}]","[{""__ref__"":""productosSeleccionados/BZfDdBVfzyA4SLAuq6FL""}]",12270
"[{""__ref__"":""pagos/o0WdwFmGqIIAkRjdgQoR""}]","[{""__ref__"":""productosSeleccionados/BzHNBuV5svhCPiMVI6OV""}]",1060
"[{""__ref__"":""pagos/Cg1FyrUusLFNAR7gatNo""}]","[{""__ref__"":""productosSeleccionados/BzJwpsh80jak9p8HEgBi""}]",230
"[{""__ref__"":""pagos/Y5R8QNXvzMY8rJNnw0UO""}]","[{""__ref__"":""productosSeleccionados/bzMeApNC3hzSA8OBhu8H""},{""__ref__"":""productosSeleccionados/1AKOqKkpgUFHCD95jqW6""},{""__ref__"":""productosSeleccionados/W97tcIvFdj4bp8fHBoyu""}]",400
"[{""__ref__"":""pagos/WT2fTXXWOL84YYNpbj6f""}]","[{""__ref__"":""productosSeleccionados/bZmPRUTjSygznetS14SM""}]",12538.02
"[{""__ref__"":""pagos/HT8sRpUzxcIIeuiPY6NT""}]","[{""__ref__"":""productosSeleccionados/Bznbuq4ZhnsH2P0GhWdf""}]",2600
"[{""__ref__"":""pagos/pI8mwgyEiEInAMgRUJNI""}]","[{""__ref__"":""productosSeleccionados/BZOAH9GA0yYPHFp8FaHs""},{""__ref__"":""productosSeleccionados/J5VgqobcGPmhAOzEitsb""},{""__ref__"":""productosSeleccionados/HCAuDJmxevXHr1n75G3o""}]",47639
"[{""__ref__"":""pagos/IATiGUuiw3wxcQlV3p01""}]","[{""__ref__"":""productosSeleccionados/BZsk5gFJdiZ1UTS6doHJ""},{""__ref__"":""productosSeleccionados/zZbQk7rrD2phxcPs9khL""},{""__ref__"":""productosSeleccionados/WZMSnhaItsyiUhYtZHEI""}]",12100
"[{""__ref__"":""pagos/USZf17KAGDduKGggxCjx""}]","[{""__ref__"":""productosSeleccionados/BzVwTHQX6YRRHhUdgZkl""}]",1881
"[{""__ref__"":""pagos/jeZBH7ozA70sahbY61vP""}]","[{""__ref__"":""productosSeleccionados/c0BnTfS7y3daoChtRgKK""}]",12650
"[{""__ref__"":""pagos/P7OdMYwfwmaRPkggotl4""}]","[{""__ref__"":""productosSeleccionados/c0o6tprhk63sj5qq22WJ""}]",12650
"[{""__ref__"":""pagos/T80uwOdiGDnZS5Zh1eaK""}]","[{""__ref__"":""productosSeleccionados/C0rWsJ9trTtkzPd3w4Ys""}]",5460
"[{""__ref__"":""pagos/5phfrUSHF8mkRLGuqtnN""},{""__ref__"":""pagos/znMCqjSM3owRUNJWpe5a""}]","[{""__ref__"":""productosSeleccionados/C0w85xUyTtHzLrMNzwfZ""}]",10440
"[{""__ref__"":""pagos/ckkhEXZtltDauoyBFmQ0""}]","[{""__ref__"":""productosSeleccionados/c12JxN9Szunc0RX0p73c""}]",4250
"[{""__ref__"":""pagos/Araw9syv1zQhZFG44ZoN""}]","[{""__ref__"":""productosSeleccionados/c1c20VP7SQ03o7uNZ1kL""},{""__ref__"":""productosSeleccionados/SsnyOvG62oN6vwev1P9T""}]",8300
"[{""__ref__"":""pagos/cNxNX4lDiZDn9ObMLvI0""}]","[{""__ref__"":""productosSeleccionados/C1gbkGIb4ieOtzYwYvvV""},{""__ref__"":""productosSeleccionados/0AjQ5riKx44oAueRlXyz""},{""__ref__"":""productosSeleccionados/3gtSOc1a7UEceEvM5Ndk""}]",4660
"[{""__ref__"":""pagos/4hSSAAd6JXDQ3fRjoKvR""}]","[{""__ref__"":""productosSeleccionados/C1niHWVjBiOyALxRKYIq""}]",2090
"[{""__ref__"":""pagos/clrcXt7oQQ0kQKsUx4bt""},{""__ref__"":""pagos/hfFfiby3Q5dbddySWwxT""}]","[{""__ref__"":""productosSeleccionados/C1qtp4saH77XB84m7vOx""},{""__ref__"":""productosSeleccionados/K6KohuAtEduIr3bScu2W""}]",23625
"[{""__ref__"":""pagos/KcswUKWBAYooTIOcObj1""}]","[{""__ref__"":""productosSeleccionados/c1RNfmiAPQeHsl2CGsta""}]",7280
"[{""__ref__"":""pagos/PYSAc0AyLm0gYOJFvTht""}]","[{""__ref__"":""productosSeleccionados/c2cXaJJ8t1nHDiUzrRfD""},{""__ref__"":""productosSeleccionados/TQcwvyw7TWPDZJRSw4LS""}]",5310
"[{""__ref__"":""pagos/UJ88LMPcfiLDUd0uaAkQ""}]","[{""__ref__"":""productosSeleccionados/C2OBWcYzLgZGOrwLD8Hz""},{""__ref__"":""productosSeleccionados/urcMFcZ3kIOn3KapBu7h""}]",203.3
"[{""__ref__"":""pagos/sAHUDDDiI2PdGv9hocAX""}]","[{""__ref__"":""productosSeleccionados/C2OyZlzbeAxAwIXVoKE5""}]",6792.5
"[{""__ref__"":""pagos/seHOK9WndmYSCaUUQYkr""},{""__ref__"":""pagos/DBRO4lWhtoSlnMxr6xGl""}]","[{""__ref__"":""productosSeleccionados/c2WyBuiQo9Q1cefmF1e6""},{""__ref__"":""productosSeleccionados/wGQjgUd7vor5N6OrbaBR""},{""__ref__"":""productosSeleccionados/zMEnCP5qLm7Piod8pl37""},{""__ref__"":""productosSeleccionados/Fjl4N5Ri6IlSbAicUdX7""}]",128346.9264
"[{""__ref__"":""pagos/fMEzaFzk3fMnAh3l6Mh9""}]","[{""__ref__"":""productosSeleccionados/c2ZzkH7Tse665b9tYiBc""},{""__ref__"":""productosSeleccionados/XX81yxTurfd32SY5Q56S""}]",1216
"[{""__ref__"":""pagos/SO5dur5nHFQgfxITTwW0""}]","[{""__ref__"":""productosSeleccionados/c3cc9kZyjbqi9XQCmNs0""},{""__ref__"":""productosSeleccionados/jSJp7KoEyq2893IxU4mp""}]",880
"[{""__ref__"":""pagos/JcoswRWlmZAEsVcOtBbj""},{""__ref__"":""pagos/6LsQRnFJXP26ePTul8e2""}]","[{""__ref__"":""productosSeleccionados/c3F5dsujFQ86wEV61jm1""},{""__ref__"":""productosSeleccionados/upygAle5dwzAnxbO5keX""}]",19880
"[{""__ref__"":""pagos/rTB6HzZze7VTab4Uk9Gb""}]","[{""__ref__"":""productosSeleccionados/c3n7MsXCCjkeJjMzEmS9""},{""__ref__"":""productosSeleccionados/aezNjxBlLNaSSk9UUdUQ""}]",11778.2
"[{""__ref__"":""pagos/97qfVauQcFjAnfQ7vNFn""}]","[{""__ref__"":""productosSeleccionados/C3NbjucdCkMQr3aHWyIR""},{""__ref__"":""productosSeleccionados/fRX9Mgur9aynlD3VlhM8""}]",26888
"[{""__ref__"":""pagos/UJ7OML5ygCvWKADstLmG""}]","[{""__ref__"":""productosSeleccionados/c3psOc9zE1nxXETtS9t7""},{""__ref__"":""productosSeleccionados/BS8sq5Mr51xTipWUZ66K""}]",5040
"[{""__ref__"":""pagos/QMft1EyloNPhz5NaRWgl""}]","[{""__ref__"":""productosSeleccionados/c3UcnqGj01mMvPOl6W2M""},{""__ref__"":""productosSeleccionados/kgqCPkRcsYVp7r4orOI4""}]",200
"[{""__ref__"":""pagos/Xr5zLy4FkY5PNTtXbc3x""},{""__ref__"":""pagos/soYSKtCD9WV1WPCz2Zf1""}]","[{""__ref__"":""productosSeleccionados/C3WHJwOrha5XYU7fyOrS""}]",15180
"[{""__ref__"":""pagos/Kt719IrsjmBWygizJAzU""}]","[{""__ref__"":""productosSeleccionados/c4JNXncpETOr8HLXizDu""},{""__ref__"":""productosSeleccionados/f2gS4G2OFzKa3kby7Vyp""}]",400
"[{""__ref__"":""pagos/Y3hgd7QehIT3tbOfv3Zy""},{""__ref__"":""pagos/Qay2jYCHnvFuhBUoOUr2""}]","[{""__ref__"":""productosSeleccionados/C4kaTPm9k1eJ2XHzCkpQ""}]",6097
"[{""__ref__"":""pagos/3FANEf5F1veL6fyjDc9v""}]","[{""__ref__"":""productosSeleccionados/c4KY4PxUGKQtY5Bx3oNR""}]",25875
"[{""__ref__"":""pagos/02sOGt2Lh0BJqIgBzpQu""}]","[{""__ref__"":""productosSeleccionados/C4R48r0DTza20JYsMTdG""}]",1085
"[{""__ref__"":""pagos/AlrYCt0llH1MzoAup8XN""}]","[{""__ref__"":""productosSeleccionados/C4s5DacKI2xtN3ogb8xG""},{""__ref__"":""productosSeleccionados/CDoNSQPyJw11YDuMFkpH""}]",2600
"[{""__ref__"":""pagos/nv8mgxOHhggwLjPZSQ9v""}]","[{""__ref__"":""productosSeleccionados/c4wIjpykINDPMVeXWVS0""},{""__ref__"":""productosSeleccionados/1xuDisg7A4EcAbl7T5yV""},{""__ref__"":""productosSeleccionados/2Eo9PsWTRoNMnePM3zXi""},{""__ref__"":""productosSeleccionados/EBHz4UsV8B3cl68lpZh1""}]",7660.18
"[{""__ref__"":""pagos/Nm0BrwQTjkGOaQLxWEU6""}]","[{""__ref__"":""productosSeleccionados/C576Q0cPbCzBnlJAXwgW""}]",1630
"[{""__ref__"":""pagos/L7KcIFIFynircBkSomwG""}]","[{""__ref__"":""productosSeleccionados/C5O1kX4TKfWm6iGGnTtA""}]",10120
"[{""__ref__"":""pagos/MlfmooxiPEBHgpHm4f2p""}]","[{""__ref__"":""productosSeleccionados/c5u33TdX0YBLlLea4LCN""},{""__ref__"":""productosSeleccionados/Q8pcJpwNtxD4mh863qIa""},{""__ref__"":""productosSeleccionados/QB3Msz0od8oIDUCTfPe0""}]",11870
"[{""__ref__"":""pagos/gbsCoLynGnQhknvca2fi""}]","[{""__ref__"":""productosSeleccionados/c5Z3mBXXYE6WjiEVzmxg""}]",300
"[{""__ref__"":""pagos/Phiu9caU48D40hE1jaaf""},{""__ref__"":""pagos/gYM6EHBExzsoAmIs7P4G""}]","[{""__ref__"":""productosSeleccionados/C5zflV3w7F5a9v5QKDG1""}]",12618.85
"[{""__ref__"":""pagos/BPqkIeNuKdr2aYb2Hbfg""}]","[{""__ref__"":""productosSeleccionados/C63rpUzjTcbqZdXED8H1""}]",1080
"[{""__ref__"":""pagos/hDQ3pfYgYODP6sIOXZDj""}]","[{""__ref__"":""productosSeleccionados/c6Fs2cbO42h8zGkzHhuO""}]",800
"[{""__ref__"":""pagos/ttWumEojIQiLHo4MoHBY""}]","[{""__ref__"":""productosSeleccionados/C6oiiAlI9oVBSbmxPFbH""}]",8128
"[{""__ref__"":""pagos/vYSBxdMXCNhaXCaR8Y6T""},{""__ref__"":""pagos/zqXWEoJjqVquQt36mVEz""}]","[{""__ref__"":""productosSeleccionados/C6t7eiLBkoArw2XkXk8S""}]",38500
"[{""__ref__"":""pagos/kddpDC9ofVl2qcpe2Cf7""}]","[{""__ref__"":""productosSeleccionados/c7FvCNdKaedvpLY17CcN""},{""__ref__"":""productosSeleccionados/cG9mzuYwv6v8agbjZq1k""}]",1760
"[{""__ref__"":""pagos/OdaVmNWjmKLNhcqHmOMR""}]","[{""__ref__"":""productosSeleccionados/C7Gl2CvTWfqIxT2g9Fwy""}]",5130
"[{""__ref__"":""pagos/L29CWcu8TepwDwdxMzWy""},{""__ref__"":""pagos/yrkAWtVhJDXF1OlPZhJC""}]","[{""__ref__"":""productosSeleccionados/C7IqHyYpPDKiYOyLCbe2""},{""__ref__"":""productosSeleccionados/GCoufbsUYRuzzZjHI4qj""}]",44460
"[{""__ref__"":""pagos/pc00DhqxNnTFJpaKaruA""}]","[{""__ref__"":""productosSeleccionados/C7kYew7fVGWYfCXqIliz""},{""__ref__"":""productosSeleccionados/dmbn3zyyIzhyLsJJ01Qc""}]",320
"[{""__ref__"":""pagos/dViYBr8pvtY6nUYUXZ5t""}]","[{""__ref__"":""productosSeleccionados/c7niIRfluDmdkBi9bl34""}]",1720
"[{""__ref__"":""pagos/FOdZBcMypuWtOsRLcpIf""}]","[{""__ref__"":""productosSeleccionados/C7nQCKf56Q94S0Mtiyww""},{""__ref__"":""productosSeleccionados/fJgD5wzAqxovbmBb92ut""}]",960
"[{""__ref__"":""pagos/alYpJWqwp2ynjJRIMKkR""}]","[{""__ref__"":""productosSeleccionados/C7pKFQep8JHnLgrc203S""},{""__ref__"":""productosSeleccionados/fnMRY8Cre8lz1VCisVEs""}]",200
"[{""__ref__"":""pagos/Mgv2IuWL5RCzVfWwwM96""}]","[{""__ref__"":""productosSeleccionados/c7z8odoWo5PyKgRBeGj9""}]",5372.4
"[{""__ref__"":""pagos/vQL9aUMGdECLVD4hf4bg""}]","[{""__ref__"":""productosSeleccionados/c8eb1PH9eknRRxZ7JDUd""},{""__ref__"":""productosSeleccionados/AP0dO6aBVD7ihOQgtOEs""},{""__ref__"":""productosSeleccionados/yKlaovu79Nkfd8gzMG0F""}]",1412
"[{""__ref__"":""pagos/WxlFz1bSCfZVe4wAcwxf""}]","[{""__ref__"":""productosSeleccionados/c8edhtk4frEiTfIG8jSG""}]",13419
"[{""__ref__"":""pagos/g2IaCxcNwncMSkxRY5qW""},{""__ref__"":""pagos/n8fT9zoDLtx4HgbDvx1J""}]","[{""__ref__"":""productosSeleccionados/c8ipWkW8eBnZL91FrJEd""},{""__ref__"":""productosSeleccionados/csPCJbG4kWovw8X3tixY""},{""__ref__"":""productosSeleccionados/OFSXWg3C3xFc4TjcLfNa""}]",38870
"[{""__ref__"":""pagos/Xne3rgNVuZBj4IfWijJd""},{""__ref__"":""pagos/hyGdOF2KgoJLyxsBE2a8""}]","[{""__ref__"":""productosSeleccionados/C8tpMaftxsjwpJGm3Drd""}]",4728
"[{""__ref__"":""pagos/Kzcm14zakS3G8mXfRbSl""}]","[{""__ref__"":""productosSeleccionados/c8zRczVTl09g3xawIRuT""},{""__ref__"":""productosSeleccionados/8dMj3i6zodGTxk6VO71y""}]",3402
"[{""__ref__"":""pagos/Z3vFBdLbT2xIhMBbS6kk""}]","[{""__ref__"":""productosSeleccionados/C9WBqT0gXTeYhPCzCDd0""}]",2420
"[{""__ref__"":""pagos/SHN6DoRTrYK99DlRas1R""}]","[{""__ref__"":""productosSeleccionados/C9wOnuoTQQsiNRTXdhHi""},{""__ref__"":""productosSeleccionados/IagC1pc7IoBPVrxgjMVQ""},{""__ref__"":""productosSeleccionados/9LpasDFgs8uGYJfJwnMi""},{""__ref__"":""productosSeleccionados/P0nG7xuoBmcin1y11xGA""}]",30837
"[{""__ref__"":""pagos/qfs6GVIGNiM1CokIXGPz""}]","[{""__ref__"":""productosSeleccionados/c9X0dfJU7AnrYanUC3Hj""}]",11286.88
